Date,Close,High,Low,Open,Volume
14-07-2016,2900,2935,2890,2890,12
15-07-2016,2835,2835,2835,2835,1
18-07-2016,2835,2835,2835,2835,0
19-07-2016,2881.800049,2889,2880,2885,28
20-07-2016,2881.800049,2881.800049,2881.800049,2881.800049,0
21-07-2016,2881.800049,2881.800049,2881.800049,2881.800049,0
22-07-2016,2870,2870,2870,2870,10
25-07-2016,2870,2870,2870,2870,0
26-07-2016,2870,2870,2870,2870,0
27-07-2016,2870,2870,2870,2870,0
28-07-2016,2900,2900,2820,2820,9
29-07-2016,2880,2880,2835,2835,8
01-08-2016,2890,2919.98999,2860,2919.98999,7
02-08-2016,2890,2890,2890,2890,0
03-08-2016,2930.47998,2939,2920,2920,20
04-08-2016,2930.47998,2930.47998,2930.47998,2930.47998,0
05-08-2016,2920,2920,2920,2920,9
08-08-2016,2920,2920,2920,2920,0
09-08-2016,2875,2875,2830,2830,113
10-08-2016,2911,2911,2900,2900,7
11-08-2016,2911,2911,2911,2911,0
12-08-2016,2911,2911,2911,2911,0
16-08-2016,2911,2911,2911,2911,0
17-08-2016,2911,2911,2911,2911,0
18-08-2016,2945,2945,2940,2940,4
19-08-2016,2940,2940,2881,2881,10
22-08-2016,2940,2940,2940,2940,0
23-08-2016,2940,2940,2940,2940,0
24-08-2016,2940,2940,2940,2940,0
25-08-2016,2940,2940,2940,2940,0
26-08-2016,2900,2900,2900,2900,1
29-08-2016,2900,2900,2900,2900,0
30-08-2016,2950,2950,2806.850098,2950,83
31-08-2016,2950,2950,2950,2950,0
01-09-2016,2860,2860,2860,2860,4
02-09-2016,2945,2945,2820,2850,22
06-09-2016,2945,2945,2945,2945,0
07-09-2016,2945,2945,2945,2945,0
08-09-2016,2918,2918,2868.310059,2900,31
09-09-2016,2918,2918,2918,2918,0
12-09-2016,2918,2918,2918,2918,0
14-09-2016,2918,2918,2918,2918,0
15-09-2016,2918,2918,2918,2918,0
16-09-2016,2870,2870.050049,2870,2870.050049,25
19-09-2016,2870,2870,2870,2870,0
20-09-2016,2870,2870,2870,2870,0
21-09-2016,2870,2870,2870,2870,0
22-09-2016,2915,2920,2915,2920,14
23-09-2016,2929,2929,2925,2925,9
26-09-2016,2929,2929,2929,2929,0
27-09-2016,2929,2929,2929,2929,0
28-09-2016,2929,2929,2929,2929,0
29-09-2016,2880,2880,2880,2880,14
30-09-2016,2939.98999,2939.98999,2939.98999,2939.98999,1
03-10-2016,2885,2939.98999,2885,2939.98999,4
04-10-2016,2885,2885,2885,2885,0
05-10-2016,2885,2885,2885,2885,0
06-10-2016,2820,2831,2820,2831,4
07-10-2016,2820,2820,2820,2820,0
10-10-2016,2820,2820,2820,2820,0
13-10-2016,2820,2820,2820,2820,0
14-10-2016,2820,2820,2820,2820,0
17-10-2016,2820,2820,2820,2820,0
