ds,Open,Volume,Close,Close_Lag1,MA7
2020-12-15,4377.429443766275,22.911001907995246,4371.214286985908,4374.6583381136525,4380.096278042962
2020-12-16,4375.993869084227,17.76230859571478,4370.879558394371,4371.214286985908,4377.171673557775
2020-12-17,4373.255398361106,22.69879554810708,4366.908275330099,4370.879558394371,4374.504833803125
2020-12-18,4372.05532346187,23.00367315354753,4370.854162368136,4366.908275330099,4372.783122831755
2020-12-21,4380.118876951759,25.215653541594115,4373.178564924996,4370.854162368136,4372.2900117913405
2020-12-22,4379.562857996619,29.294780174567563,4371.401978801142,4373.178564924996,4371.2993092740435
2020-12-23,4380.094741589796,24.029291843377983,4372.529505447541,4371.401978801142,4370.995190321742
2020-12-24,4379.078957573644,28.735306416860944,4369.79904861271,4372.529505447541,4370.793013411285
2020-12-28,4390.042067329639,29.2873987909877,4378.68252604679,4369.79904861271,4371.907723075917
2020-12-29,4389.783964718501,32.660867487964346,4376.986714758292,4378.68252604679,4373.347500137087
2020-12-30,4389.720633311428,26.611696427891605,4377.544745315449,4376.986714758292,4374.303297700989
2020-12-31,4387.8475827123075,30.490919056678507,4374.061735873284,4377.544745315449,4374.4294649793155
2021-01-01,4387.007067775265,29.60180976648589,4378.105388571527,4374.061735873284,4375.387094946514
2021-01-04,4393.288609226537,27.660768563494482,4378.646714172936,4378.105388571527,4376.260981907284
2021-01-05,4391.293913708631,30.260135952437828,4375.70889079384,4378.646714172936,4377.105245076017
2021-01-06,4390.04121025655,23.518083624065564,4375.468622029486,4375.70889079384,4376.646115930687
2021-01-07,4386.9512753416,26.781733196692315,4371.215695869161,4375.468622029486,4375.821684660812
2021-01-08,4384.904734637021,25.367161642854132,4374.5465154825215,4371.215695869161,4375.393366113251
2021-01-11,4387.9822959588355,22.48334535803216,4373.529782373279,4374.5465154825215,4375.317372756107
2021-01-12,4385.156083967885,24.997475940238782,4370.324681331382,4373.529782373279,4374.205843150373
2021-01-13,4383.22780601296,18.286623863627987,4369.960553895218,4370.324681331382,4372.964963110698
2021-01-14,4379.632809394966,21.69484853215443,4365.729953445951,4369.960553895218,4371.539400632429
2021-01-15,4377.260472560674,20.5324752759796,4369.226894551045,4365.729953445951,4370.647725278365
2021-01-18,4380.4359396713835,18.95746110606901,4369.4749848312,4369.226894551045,4370.399052272942
2021-01-19,4377.972872861157,22.05076265537642,4366.893722656896,4369.4749848312,4369.305796154996
2021-01-20,4376.5466152860945,15.966200819836738,4367.2194382689295,4366.893722656896,4368.404318425803
2021-01-21,4373.570533516759,20.03183635163531,4363.720068371422,4367.2194382689295,4367.460802288666
2021-01-22,4371.90900778976,19.541671849063516,4367.963804510365,4363.720068371422,4367.175552376544
2021-01-25,4377.491977449427,19.91320858361266,4370.287760402731,4367.963804510365,4367.826667656083
2021-01-27,4375.1561877902905,18.019008389783448,4369.045237846663,4370.287760402731,4367.800716698315
2021-01-28,4372.863586355123,22.538314316763497,4365.884600088266,4369.045237846663,4367.287804592182
2021-01-29,4371.794655201371,22.427799682920604,4370.3384664450305,4365.884600088266,4367.77991084763
2021-02-01,4378.461379168671,23.454083472344855,4372.471905204115,4370.3384664450305,4368.530263266942
2021-02-02,4376.900614542507,27.179810410899094,4370.117041072618,4372.471905204115,4369.44411650997
2021-02-03,4376.198734450091,21.594682452679777,4370.448088710306,4370.117041072618,4369.799014252819
2021-02-04,4373.750666816477,26.02329538849755,4366.73174840607,4370.448088710306,4369.29101253901
2021-02-05,4372.4095943675065,25.760150189733025,4370.542190325367,4366.73174840607,4369.50486289311
2021-02-08,4377.705835906737,26.057575995085593,4370.427907561572,4370.542190325367,4370.153906817868
2021-02-09,4375.564365085234,29.487825451132284,4367.293203341724,4370.427907561572,4369.718869231682
2021-02-10,4374.253575176204,23.60063389586466,4366.866534531232,4367.293203341724,4368.918101992698
2021-02-11,4371.188864134079,27.73205116226234,4362.435147964079,4366.866534531232,4367.820688691479
2021-02-12,4369.242844323514,27.187273105098754,4365.591356205704,4362.435147964079,4367.12686976225
2021-02-15,4372.956662795133,26.821880526434285,4364.010404500003,4365.591356205704,4366.7381063470975
2021-02-16,4370.403910515013,30.113498755066544,4360.575489914835,4364.010404500003,4365.314292002736
2021-02-17,4368.749829059388,24.134980186476277,4359.943284076888,4360.575489914835,4363.816488647781
2021-02-18,4365.409404761074,28.223035347134307,4355.394202123585,4359.943284076888,4362.116631330903
2021-02-19,4363.2504648105905,27.6814683706412,4358.509203449437,4355.394202123585,4360.922726890648
